,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.14369906,0.074780007,0.158946828,0.153593225,0.131793
longest common Precision,0.165942173,0.170936009,0.159135669,0.141249877,0.181518
longest common Recall,0.147239874,0.06921712,0.191652862,0.226715187,0.130519
bi-gram F1,0.014078519,0.003800353,0.028944365,0.02454747,0.012418
bi-gram Precision,0.015204325,0.007081899,0.025382524,0.02001537,0.016742
bi-gram Recall,0.014036557,0.002758264,0.035855202,0.034502635,0.01125
1-gram F1,0.167186221,0.099711786,0.196013312,0.201991068,0.165775
1-gram Precision,0.182350431,0.179584596,0.185417765,0.167817321,0.204539
1-gram Recall,0.163489831,0.073411037,0.222716551,0.26822197,0.14955
