,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.074996724442564,0.052778664530501,0.099292553153109,0.106133194840183,0.065570376037251
longest common Precision,0.184532747262841,0.14440616021944,0.119018283530258,0.193274426837409,0.271325553768192
longest common Recall,0.054840892249034,0.063261433391457,0.062037751668791,0.057414299230283,0.058013770325092
bi-gram F1,0.048952657112715,0.05497574288746,0.053050995821438,0.051140529375133,0.050705722015771
bi-gram Precision,0.059077066095812,0.070639361537151,0.053965857698666,0.053274505678299,0.057521669239396
bi-gram Recall,0.055529423401722,0.061011777656042,0.061033868340215,0.060968445554763,0.051530710749099
1-gram F1,0.048847942060577,0.051078122871532,0.048915573815347,0.049800925034528,0.056548397934567
1-gram Precision,0.050227772791589,0.08199120756898,0.046377017234291,0.050986778757533,0.060480467937864
1-gram Recall,0.054840905332141,0.052778660920181,0.062037757106467,0.057414308445188,0.058013774886143
