,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.171146729,0.076858564,0.109045362,0.085642563,0.138198783
longest common Precision,0.162040175,0.081211438,0.117568506,0.074988898,0.166192266
longest common Recall,0.220249519,0.095575744,0.13156041,0.1403979,0.173933227
bi-gram F1,0.122373849,0.043516265,0.069198105,0.067179672,0.105086096
bi-gram Precision,0.118340958,0.048667124,0.07475006,0.054697344,0.139985276
bi-gram Recall,0.140177102,0.049976019,0.079046211,0.096379502,0.110686374
1-gram F1,0.187213977,0.087769133,0.113948093,0.10092044,0.150805108
1-gram Precision,0.16909862,0.085646257,0.12266033,0.08250659,0.175938568
1-gram Recall,0.231689613,0.107310097,0.137106716,0.148765692,0.180807775
