,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.323567,0.302033,0.24678,0.214541,0.32891
longest common Precision,0.290225,0.276755,0.225695,0.201949,0.295009
longest common Recall,0.493076,0.479638,0.537365,0.555182,0.492963
bi-gram F1,0.60554,0.561671,0.602328,0.611509,0.583988
bi-gram Precision,0.571532,0.533989,0.562435,0.556055,0.560372
bi-gram Recall,0.630694,0.603687,0.67037,0.682489,0.620128
1-gram F1,0.473658,0.44731,0.481203,0.498699,0.461198
1-gram Precision,0.449445,0.422732,0.442769,0.449489,0.434216
1-gram Recall,0.493077,0.479638,0.537365,0.555182,0.492963
