,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.095879659,0.079328164,0.09352706,0.082980521,0.09761222
longest common Precision,0.089152761,0.078102483,0.086893117,0.074513776,0.082570931
longest common Recall,0.135755896,0.094515251,0.118539945,0.128282425,0.133658592
bi-gram F1,0.07554147,0.047450483,0.082232156,0.07369718,0.078684919
bi-gram Precision,0.067684829,0.046726012,0.071468389,0.059985894,0.068171271
bi-gram Recall,0.098520665,0.055481298,0.110424322,0.104457059,0.099024839
1-gram F1,0.098458197,0.086011981,0.095481785,0.097049758,0.105397816
1-gram Precision,0.0902663,0.082519614,0.089033344,0.08033639,0.088248131
1-gram Recall,0.13305927,0.102516595,0.123760414,0.135846387,0.14100967
