,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.08029498,0.066846623,0.070091189,0.054275998,0.070456902
longest common Precision,0.083072921,0.138389356,0.061290581,0.046806915,0.074486261
longest common Recall,0.058386217,0.055099233,0.062724766,0.061776416,0.05696878
bi-gram F1,0.055138181,0.055319024,0.043678528,0.03944992,0.048694409
bi-gram Precision,0.060323392,0.055804805,0.045913495,0.039786732,0.050773692
bi-gram Recall,0.072096136,0.061661048,0.061723073,0.056036679,0.066814206
1-gram F1,0.050505082,0.046411259,0.043789877,0.043718778,0.038597524
1-gram Precision,0.05225726,0.049203125,0.037998506,0.037190567,0.037311486
1-gram Recall,0.058386215,0.055099238,0.062724758,0.061776419,0.056968775
