,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.30912,0.300056,0.261931,0.229659,0.345567
longest common Precision,0.290275,0.333525,0.239341,0.211089,0.383993
longest common Recall,0.491417,0.461765,0.526042,0.551623,0.48805
bi-gram F1,0.597559,0.555571,0.61428,0.61818,0.589208
bi-gram Precision,0.56937,0.526922,0.572396,0.563682,0.562569
bi-gram Recall,0.632161,0.593028,0.665999,0.688641,0.62356
1-gram F1,0.46606,0.433933,0.482807,0.499712,0.456392
1-gram Precision,0.445907,0.414301,0.44912,0.460304,0.433173
1-gram Recall,0.491417,0.461765,0.526042,0.551623,0.48805
