,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.340429984,0.365027959,0.280238991,0.25160097,0.370238631
longest common Precision,0.31193126,0.402838433,0.254732824,0.229324178,0.344089458
longest common Recall,0.547257396,0.394983602,0.523717469,0.53561373,0.493254393
bi-gram F1,0.636945064,0.505536665,0.60499765,0.605416811,0.591728214
bi-gram Precision,0.58967411,0.492692133,0.553081729,0.547154863,0.558274563
bi-gram Recall,0.69757005,0.520792792,0.671481807,0.680318678,0.633890542
1-gram F1,0.49984077,0.378084729,0.470540462,0.480545666,0.458668437
1-gram Precision,0.461882379,0.365668798,0.428936574,0.437282605,0.431441156
1-gram Recall,0.547257399,0.394983603,0.52371746,0.535613728,0.493254401
