,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.141017511,0.123434748,0.133727868,0.125871964,0.148044281
longest common Precision,0.129403558,0.111111111,0.121320755,0.115069935,0.157076773
longest common Recall,0.229020979,0.192759606,0.265986395,0.290064103,0.210227273
bi-gram F1,0.022535385,0.005749449,0.015331294,0.019802839,0.008482034
bi-gram Precision,0.018058783,0.004132867,0.010651535,0.015732829,0.008210074
bi-gram Recall,0.029889079,0.008278599,0.027046784,0.049834574,0.010269644
1-gram F1,0.173098839,0.148279017,0.197116863,0.187576602,0.182105258
1-gram Precision,0.146007219,0.112987988,0.138257576,0.129856175,0.166666667
1-gram Recall,0.252906977,0.213525836,0.315555556,0.338887465,0.22718254
