,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.404627518601159,0.311068814906162,0.431338796495689,0.412030117754531,0.471080737337522
longest common Precision,0.426207676770071,0.481343039599332,0.442224462876409,0.423801593689067,0.582279205322266
longest common Recall,0.397817082632156,0.381935220153007,0.432379852022444,0.416307132474838,0.403548272157777
bi-gram F1,0.522314919016882,0.479826330903877,0.547504350546313,0.531425864694035,0.553178715340903
bi-gram Precision,0.544772217095236,0.55647512289194,0.563123539662029,0.558096298149654,0.656604385614993
bi-gram Recall,0.510974695285161,0.407913679076779,0.547246505709959,0.517842392126719,0.495131007324295
1-gram F1,0.421898585157232,0.32280647415221,0.397246354761473,0.421471893315531,0.439066557827149
1-gram Precision,0.477643294161948,0.517065014765813,0.411109730235317,0.477723063806522,0.585688881252123
1-gram Recall,0.397817082632156,0.311068827793653,0.432379848616464,0.416307132474838,0.403548326799946
