,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.230050669,0.11469817,0.215066629,0.167771003,0.201298701
longest common Precision,0.207699275,0.12158167,0.195652174,0.153851541,0.198039216
longest common Recall,0.366028708,0.13961039,0.376388889,0.336413043,0.289898132
bi-gram F1,0.093537411,0,0.080982924,0.063556112,0.066274249
bi-gram Precision,0.069001983,0,0.05625,0.042997543,0.056661316
bi-gram Recall,0.13794926,0,0.126037736,0.120227038,0.097619048
1-gram F1,0.290930209,0.128543173,0.278484784,0.238881115,0.246929537
1-gram Precision,0.221598878,0.12347561,0.208099579,0.160833841,0.220486111
1-gram Recall,0.405505952,0.148170732,0.430194805,0.38548951,0.317540323
