,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.143922364,0.118776845,0.144227613,0.139199684,0.149937823
longest common Precision,0.135133211,0.111675589,0.131837646,0.128038011,0.147393792
longest common Recall,0.235938032,0.188625634,0.292882339,0.338378907,0.227313679
bi-gram F1,0.029331199,0.021496845,0.037610133,0.051622621,0.030487426
bi-gram Precision,0.022866015,0.016876871,0.026979275,0.03530273,0.024418286
bi-gram Recall,0.049377311,0.031204743,0.06834967,0.106488607,0.050658985
1-gram F1,0.183841301,0.146043689,0.199399554,0.198991106,0.180017316
1-gram Precision,0.150971465,0.120308788,0.149109965,0.140711589,0.156753917
1-gram Recall,0.259720319,0.201961998,0.325831978,0.368616636,0.242606393
