,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.306579352,0.100841425,0.26375222,0.229566311,0.194733709
longest common Precision,0.289411206,0.121728395,0.242311277,0.209594199,0.215931373
longest common Recall,0.403389831,0.092329545,0.346428571,0.383484163,0.278125
bi-gram F1,0.115421593,0,0.102802192,0.084740817,0.054983462
bi-gram Precision,0.089143866,0,0.084278625,0.062114198,0.065903465
bi-gram Recall,0.146428571,0,0.133333333,0.134567901,0.064333505
1-gram F1,0.350024302,0.112460634,0.327054989,0.294207646,0.250213713
1-gram Precision,0.304205607,0.126136364,0.274917336,0.22631242,0.227954545
1-gram Recall,0.413942308,0.092329545,0.387222947,0.433797909,0.309311224
