,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.483566196677567,0.35588716057034,0.47058236136498,0.459073474164291,0.396964326225152
longest common Precision,0.460468997174536,0.473296649067114,0.455033810390027,0.430918079448103,0.386540354751959
longest common Recall,0.505235636941058,0.284636135838458,0.495624182016953,0.492902361517922,0.417512218780278
bi-gram F1,0.64123618312332,0.454364063007835,0.620881609358884,0.586682327745139,0.532216220609989
bi-gram Precision,0.602244016212374,0.535275123336098,0.586987870867337,0.563352132043919,0.526603716070002
bi-gram Recall,0.666568078119169,0.389899693933221,0.654380182119516,0.616549813908936,0.548722051657163
1-gram F1,0.586501821380095,0.309907026220121,0.355713020244887,0.333646021718024,0.343657171495165
1-gram Precision,0.567296638319094,0.480021364038641,0.403297015330831,0.301108035488405,0.334376809128329
1-gram Recall,0.505235636941058,0.28463612700814,0.495624182016953,0.492902344178389,0.417512213548523
