,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.046005185,0.04328954,0.05046046,0.050678734,0.040941
longest common Precision,0.048726572,0.068095935,0.046172921,0.04641561,0.057892
longest common Recall,0.050550765,0.039120029,0.076022403,0.0731404,0.051526
bi-gram F1,0.014517692,0.006558763,0.029026713,0.020682725,0.012073
bi-gram Precision,0.016151024,0.011938993,0.024242624,0.017214555,0.016314
bi-gram Recall,0.014279642,0.004969291,0.039568713,0.031033715,0.012406
1-gram F1,0.051233817,0.049394819,0.058914472,0.051787665,0.05125
1-gram Precision,0.055766706,0.070956619,0.054772159,0.048707398,0.063745
1-gram Recall,0.060665281,0.042145956,0.085574683,0.076061726,0.064731
