,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.263163643,0.100603999,0.272610347,0.225466906,0.20194077
longest common Precision,0.247856236,0.125156017,0.26619005,0.206641534,0.223699503
longest common Recall,0.346707248,0.112868158,0.337578349,0.374715642,0.250748901
bi-gram F1,0.128467973,0.02373904,0.106343998,0.096875126,0.091983335
bi-gram Precision,0.111551579,0.024946044,0.096877638,0.075644015,0.099041084
bi-gram Recall,0.160728206,0.02598758,0.129272026,0.144758226,0.102381163
1-gram F1,0.304785189,0.117730412,0.320967614,0.292461931,0.24244342
1-gram Precision,0.266863698,0.131921605,0.294317185,0.231640393,0.248089293
1-gram Recall,0.37289784,0.121774783,0.373948663,0.417600505,0.27291307
