,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.153028322,0.061339015,0.162171822,0.157198922,0.163969
longest common Precision,0.165750916,0.164171123,0.15819714,0.141919192,0.11624
longest common Recall,0.146955985,0.057026713,0.174450549,0.224612011,0.011192
bi-gram F1,0.010557686,0,0.020152605,0.019851235,0.01717
bi-gram Precision,0.012090104,0,0.017369478,0.016001024,0.010291
bi-gram Recall,0.009239107,0,0.024896694,0.027149877,0.121088
1-gram F1,0.169669908,0.087273878,0.191344952,0.202844424,0.189495
1-gram Precision,0.178821179,0.17157275,0.189726284,0.17466091,0.120766
1-gram Recall,0.168737512,0.060622277,0.224791338,0.261899391,0.012969
