,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.081092674200628,0.085603921468732,0.133317933862955,0.075935783645282,0.07038071092997
longest common Precision,0.080974287669437,0.093948663847912,0.084196678707899,0.069576666394733,0.071812371866312
longest common Recall,0.093660481517836,0.085765523868001,0.178151062643007,0.094495372499147,0.0840239944362
bi-gram F1,0.087150801103313,0.096668581749554,0.173121342012344,0.083038559818319,0.080226124924974
bi-gram Precision,0.090442339466342,0.092405428474507,0.119460424056212,0.080058690385822,0.082578644161072
bi-gram Recall,0.099020910352017,0.105635408641394,0.224002817713337,0.097545094922772,0.092642312174944
1-gram F1,0.207936454086879,0.091498869853323,0.098014856617179,0.083928924294874,0.069901801846939
1-gram Precision,0.353520513034553,0.195764541798201,0.146832175363318,0.087416343457734,0.125657545419005
1-gram Recall,0.093660476682349,0.085765521636192,0.178151061775252,0.094495374890191,0.084023995696737
