,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.406511309659584,0.319370743245036,0.37947099425553,0.390940307656835,0.443706372584676
longest common Precision,0.505416782870436,0.216609436977426,0.379281564693485,0.46114163470644,0.489058812653376
longest common Recall,0.409676992943959,0.33375043607495,0.444984060459526,0.42303765030354,0.404651991536726
bi-gram F1,0.522236536594087,0.47731025158379,0.557765610194553,0.54102063926042,0.570601197616522
bi-gram Precision,0.535942002592393,0.580536328135195,0.562177191221969,0.556084194507209,0.665044646120207
bi-gram Recall,0.512821714750536,0.408947172605061,0.555430791992385,0.529548189224099,0.500842946528366
1-gram F1,0.41406126402151,0.387175756594869,0.441458363487483,0.424233358503154,0.481754533841242
1-gram Precision,0.420610877785821,0.502157801003042,0.440786450108864,0.428152252613439,0.599221066250274
1-gram Recall,0.409676982462921,0.319370743442318,0.444984059248939,0.423037646463075,0.404651992716764
