,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.470315863556551,0.354489630348103,0.428708338996119,0.440489550884081,0.405050333057637
longest common Precision,0.451710426112055,0.470598260170564,0.44397789235524,0.423261847369723,0.396361378698578
longest common Recall,0.494630305583573,0.289755382890817,0.435999660198595,0.463409465049101,0.419312700785049
bi-gram F1,0.616330755446462,0.44929191159753,0.551614598329652,0.575891000395263,0.540923466409983
bi-gram Precision,0.59158932405962,0.530775773240838,0.557903823135275,0.550962514261148,0.529494562384765
bi-gram Recall,0.647121941443765,0.395528144079095,0.566817134971797,0.606425711491893,0.557419466603422
1-gram F1,0.52101582059248,0.304004181102827,0.396017817966738,0.334027450036918,0.350747263909205
1-gram Precision,0.550364115310779,0.487420677874846,0.392587185054952,0.30972163504556,0.363449105501293
1-gram Recall,0.494630301358428,0.289755382536039,0.435999654980844,0.463409464957953,0.419312700759799
