,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.057860403,0.056156057,0.074794433,0.066817899,0.06070957
longest common Precision,0.058279866,0.055122928,0.067061739,0.05943945,0.054963014
longest common Recall,0.103169846,0.088785227,0.115444719,0.127612442,0.120054418
bi-gram F1,0.034769048,0.038736802,0.055210479,0.064297867,0.043828884
bi-gram Precision,0.026710011,0.030407771,0.04123503,0.045080599,0.035877178
bi-gram Recall,0.072747523,0.056002669,0.093795551,0.13663292,0.094046127
1-gram F1,0.070824786,0.066109743,0.083561511,0.074285726,0.066058889
1-gram Precision,0.070201094,0.059642071,0.072586107,0.060652651,0.057243929
1-gram Recall,0.107134513,0.093655256,0.114221285,0.120002698,0.124031652
