,first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
longest common F1,0.337503053,0.352182166,0.267123817,0.262434067,0.358446895
longest common Precision,0.302335174,0.362846746,0.244119646,0.240333858,0.325770608
longest common Recall,0.561549643,0.400392956,0.515746213,0.549115811,0.48354875
bi-gram F1,0.629315041,0.500093919,0.601828843,0.603059283,0.605761213
bi-gram Precision,0.591416749,0.482517348,0.544572079,0.553477955,0.558129812
bi-gram Recall,0.68994706,0.520983598,0.66481407,0.673484748,0.649209897
1-gram F1,0.494220665,0.38134181,0.473110039,0.482652496,0.457555491
1-gram Precision,0.452125558,0.361376263,0.422265749,0.43316556,0.435739227
1-gram Recall,0.561549666,0.400392986,0.51574619,0.549115788,0.483548796
