first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.167186220780279,0.099711785510324,0.196013311962265,0.201991067503938,0.165775
0.18235043100633,0.179584596391402,0.185417764892293,0.167817321384207,0.204539
0.163489831154929,0.073411036976175,0.222716551423186,0.268221970151168,0.14955
0.014078518582513,0.003800352738381,0.02894436543922,0.02454746983813,0.012418
0.015204324849009,0.007081898938402,0.02538252378096,0.020015370131804,0.016742
0.01403655674281,0.002758264200501,0.035855201981007,0.034502635424527,0.01125
0.143699060401605,0.07478000699882,0.158946828381571,0.153593224586743,0.131793
0.165942173253532,0.17093600873536,0.159135668908331,0.141249876667118,0.181518
0.147239874255085,0.069217120316162,0.191652861587737,0.226715187185605,0.130519
2.2870522958261E-06,1.72725805529842,0.077216183697736,0.019248905005278,0.015308
111.740740740741,40.1851851851852,168.185185185185,218.648148148148,84.25
