first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.17309883915344848,0.14827901663003623,0.19711686313510002,0.18757660229355272,0.18210525845920633
0.14600721858786375,0.11298798798798798,0.13825757575757575,0.1298561745743098,0.16666666666666666
0.25290697674418605,0.2135258358662614,0.3155555555555556,0.33888746475262754,0.22718253968253968
0.022535385330132045,0.005749448505534511,0.015331293756853638,0.019802838922376904,0.008482033717815984
0.01805878276466512,0.004132866535735634,0.010651534575069753,0.015732829444627013,0.008210073630025412
0.029889079133477256,0.008278598795840175,0.027046783625730993,0.049834574028122414,0.010269643985675163
0.14101751050909517,0.12343474837608534,0.13372786825817512,0.12587196366027992,0.14804428099109518
0.12940355772584583,0.1111111111111111,0.12132075471698113,0.11506993481803368,0.1570767732510956
0.229020979020979,0.19275960622419816,0.26598639455782314,0.29006410256410253,0.21022727272727273
2.1457672119140625e-06,0.44422924518585205,0.01033782958984375,0.0007393360137939453,0.001007676124572754
118.5,98.5,168.0,182.0,94.5
