first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.35002430235731813,0.11246063424218142,0.3270549887686638,0.29420764588907056,0.2502137127008137
0.3042056074766355,0.12613636363636363,0.2749173358526216,0.2263124199743918,0.22795454545454547
0.41394230769230766,0.09232954545454546,0.38722294654498046,0.4337979094076655,0.3093112244897959
0.11542159308580688,0.0,0.10280219177224315,0.08474081653069995,0.054983462418814036
0.08914386584289496,0.0,0.08427862460120525,0.062114197530864196,0.06590346534653466
0.1464285714285714,0.0,0.13333333333333333,0.1345679012345679,0.06433350488934637
0.3065793519201793,0.10084142531806689,0.26375222036570234,0.22956631060553384,0.19473370935075346
0.28941120607787274,0.12172839506172839,0.2423112767940354,0.20959419885650538,0.21593137254901962
0.4033898305084746,0.09232954545454546,0.3464285714285714,0.38348416289592757,0.278125
1.9073486328125e-06,0.46786558628082275,0.006768226623535156,0.0005640983581542969,0.0008542537689208984
77.0,32.5,81.0,105.5,55.0
