first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.49984077033775015,0.3780847290832593,0.47054046193444854,0.480545665754219,0.4586684373153564
0.46188237949483096,0.36566879816833364,0.4289365736453924,0.4372826053518259,0.4314411555357126
0.5472573989576163,0.39498360325896514,0.5237174598631221,0.5356137279598105,0.49325440114490426
0.6369450644451113,0.505536664517577,0.6049976502128322,0.6054168114582656,0.5917282137237827
0.5896741100543197,0.4926921329208337,0.5530817285564104,0.5471548634450694,0.5582745625570802
0.697570050439212,0.5207927923382658,0.6714818073574355,0.6803186781010575,0.6338905422640007
0.3404299842768,0.36502795944513594,0.2802389906233459,0.2516009701157477,0.3702386306337056
0.31193125990439474,0.40283843292798405,0.2547328236687169,0.2293241775044915,0.3440894580359933
0.5472573955411163,0.3949836023874199,0.5237174692979486,0.5356137301508428,0.49325439345725003
2.0503997802734374e-06,0.43684476613998413,0.007695233821868897,0.0006677150726318359,0.000789940357208252
86.95,45.25,109.6,115.65,65.2
