first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.49422066459641467,0.38134181038886117,0.47311003921758793,0.48265249634399754,0.45755549095090536
0.4521255581877952,0.3613762634601372,0.4222657489776611,0.4331655595816818,0.4357392270913285
0.5615496658926526,0.4003929861724147,0.5157461902809879,0.5491157878528943,0.4835487955805212
0.6293150406931189,0.5000939194999708,0.6018288434648976,0.603059283054366,0.6057612132365131
0.591416749370146,0.4825173481090649,0.5445720789803276,0.5534779547533942,0.5581298115853393
0.6899470604261929,0.5209835976885077,0.6648140695036912,0.673484748115345,0.6492098969853702
0.33750305348067655,0.35218216616892806,0.2671238168274444,0.2624340671233373,0.35844689481180303
0.3023351735524074,0.36284674620017027,0.24411964581642315,0.24033385781680838,0.32577060776365296
0.5615496431861213,0.40039295625502536,0.5157462129875192,0.5491158105594256,0.4835487495145968
2.0265579223632812e-06,0.4238882064819336,0.007107734680175781,0.0005388259887695312,0.0006785392761230469
88.0,43.0,117.0,116.5,65.5
