first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.28396989259528693,0.13794475991467056,0.2874249751436418,0.24206428530214377,0.24819907635889316
0.2275414041195154,0.13365202605001994,0.22158782056174275,0.17781119113883956,0.2229994093683094
0.3947704867688481,0.15307788063809638,0.4288644973636011,0.3941477599825529,0.3052517436772886
0.0975300528804905,0.028033974515519297,0.09437766759107355,0.07556335812345,0.08026201186913026
0.07698762078258031,0.026086973751158683,0.071522185624265,0.05526533598279668,0.0684730384568306
0.14275783679611634,0.032647054239642884,0.15037657797082804,0.12748363690419282,0.10209030379259765
0.22583031467488113,0.12075899263021825,0.22143983506067733,0.17669091795952152,0.21084145516418304
0.20583855032430382,0.12372430367391353,0.20169481186761298,0.1609547448210547,0.20617874440230516
0.35751423990329784,0.1417009975477151,0.3878972506215779,0.35725150193152566,0.2823378803025175
2.09808349609375e-06,0.43625971794128415,0.008230228424072266,0.0005665206909179687,0.16206122398376466
81.22,44.72,96.0,106.38,58.66
