first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.22089319184461104,0.1880701711093679,0.21243215349667177,0.19030951319136527,0.21352583110262802
0.1575187969924812,0.13746880228189023,0.14415584415584415,0.12138773388773388,0.16336996336996337
0.3671550671550672,0.3009085213032581,0.425531914893617,0.4190217391304348,0.293546365914787
0.046208421471819236,0.026287749937030903,0.04819858578657903,0.0370085436595181,0.028726142526339926
0.032105233024161225,0.019230769230769232,0.03187706375412751,0.022407771228989307,0.023015873015873017
0.0685897435897436,0.04385403329065301,0.09355660720786313,0.08771367521367521,0.04242424242424243
0.16408661702766958,0.14340972366981153,0.14972579480484347,0.1191458532724019,0.16853448476240543
0.1489415687980281,0.13035973837209303,0.1374125874125874,0.11352311128930637,0.1511627906976744
0.36085106382978727,0.27735042735042736,0.40824915824915825,0.40588235294117647,0.27055180180180183
2.384185791015625e-06,0.46790122985839844,0.005286097526550293,0.8808317184448242,0.9364258050918579
142.5,125.0,169.0,210.0,105.5
